EDAD;GENERO;ESTRATO_VIVIENDA;NIVEL_EDUCATIVO;TIPO_AREA_VIVIENDA;SEGMENTO_PLAN;MIN_LLAMADAS_SEM;MIN_REDES_SOC_SEM;MIN_WEB_SEM;DIAS_PAGO_FACT;VECES_LLAM_COMPETENCIA;MESES_SUSCRITO;NUM_INTERRUPCIONES;DUR_INTERRUPCIONES;SUSCRIP_STREAMING;RIESGO_CANCELACION
57;mujer;2;primaria;urbana;basico;414;1599;61;38;285;84;4;34;no;no
53;hombre;4;primaria;urbana;medio;634;697;1258;37;140;118;4;416;no;si
43;mujer;4;educacion superior;urbana;premium;596;1801;305;4;54;6;6;76;si;no
39;hombre;3;educacion superior;rural;premium;473;727;1205;15;281;113;8;302;no;si
63;hombre;1;educacion superior;rural;premium;694;993;1366;25;254;40;4;428;no;si
41;mujer;1;secundaria;urbana;basico;311;98;511;24;293;32;5;357;no;si
74;mujer;6;educacion superior;rural;premium;648;244;1217;3;105;66;1;152;si;no
53;hombre;6;educacion superior;urbana;basico;105;1475;792;28;290;91;6;334;no;si
57;mujer;4;secundaria;rural;basico;129;515;423;25;272;42;8;183;no;si
39;hombre;3;educacion superior;rural;medio;755;462;1248;16;1;87;6;75;si;no
18;hombre;1;educacion superior;urbana;medio;362;196;41;4;160;16;10;262;si;no
24;mujer;6;educacion superior;urbana;premium;953;1022;1479;21;228;94;4;54;no;no
58;mujer;5;educacion superior;urbana;medio;521;1334;433;43;181;17;10;87;no;si
31;mujer;2;secundaria;urbana;medio;648;348;1248;8;152;104;6;24;si;no
30;hombre;1;educacion superior;rural;medio;464;1084;185;43;44;44;3;274;no;no
41;hombre;5;primaria;rural;basico;730;1037;1468;27;51;81;6;237;si;no
47;hombre;4;primaria;urbana;premium;288;602;475;7;252;85;10;365;no;no
34;hombre;3;educacion superior;rural;medio;219;243;166;17;34;33;7;179;si;no
37;hombre;5;primaria;rural;premium;751;1071;1174;19;243;102;5;109;si;no
58;mujer;4;educacion superior;rural;medio;23;1193;375;54;143;118;1;187;no;no
22;mujer;3;educacion superior;rural;premium;603;1335;1351;39;167;25;6;452;no;si
42;hombre;4;primaria;urbana;basico;566;85;672;55;148;46;8;486;no;si
42;hombre;4;secundaria;urbana;medio;293;1036;1408;5;261;100;0;215;si;no
47;hombre;4;primaria;urbana;medio;433;201;1393;44;226;43;7;268;no;no
19;mujer;1;primaria;urbana;medio;750;1272;558;15;276;118;5;312;si;no
57;hombre;6;educacion superior;rural;basico;207;1798;590;36;192;5;3;394;no;no
27;hombre;4;educacion superior;urbana;premium;591;1425;726;24;102;118;9;440;no;no
47;hombre;3;secundaria;rural;premium;649;867;7;51;50;12;10;232;no;si
32;hombre;3;educacion superior;rural;medio;649;1906;250;26;85;28;10;8;no;no
59;hombre;2;educacion superior;urbana;medio;270;772;230;51;66;84;8;316;no;si
68;hombre;5;primaria;urbana;premium;918;639;310;54;85;115;3;319;no;si
22;mujer;2;secundaria;urbana;premium;1;484;127;33;200;3;7;230;no;no
28;hombre;6;primaria;urbana;medio;575;1086;1201;42;286;41;6;203;no;si
51;hombre;6;educacion superior;urbana;premium;898;325;867;27;279;95;10;237;si;no
19;hombre;5;educacion superior;rural;premium;93;1414;569;45;294;95;3;482;si;no
19;hombre;6;primaria;rural;medio;167;1369;446;23;205;94;2;472;si;no
23;hombre;4;educacion superior;rural;premium;844;1297;140;42;149;4;3;450;si;no
79;hombre;1;secundaria;rural;basico;428;104;531;27;95;58;9;111;no;si
80;hombre;1;educacion superior;rural;medio;663;1931;998;60;147;57;10;52;si;no
25;hombre;2;educacion superior;urbana;medio;288;1732;617;53;254;6;1;266;si;no
33;hombre;2;secundaria;rural;basico;426;523;773;26;219;36;5;79;no;si
50;hombre;1;educacion superior;rural;medio;350;1751;933;26;146;49;7;180;no;si
19;hombre;3;primaria;urbana;medio;560;1430;1410;40;237;47;3;484;no;si
16;hombre;5;secundaria;urbana;premium;749;671;1421;51;57;4;6;314;no;si
